Name,Cuisine / Type,Google Rating,ImageURL,Hours,FormattedHours,Phone,Address
Uncle David's Ice Cream,Ice Cream,,https://s3-media0.fl.yelpcdn.com/bphoto/JXz7XPclqIAagaIXeVYa4w/o.jpg,,,,
Arena's Deli & Bar,Deli,,https://s3-media0.fl.yelpcdn.com/bphoto/rIDyn7s7Vtc_fjwf5hN5-Q/o.jpg,,,,
Ava's Pizzeria & Wine Bar,Pizza,,https://s3-media0.fl.yelpcdn.com/bphoto/I8v4MM7G2qcyg9oVuoI9vw/o.jpg,,,,
Blackwall at the Beach,American,,https://s3-media0.fl.yelpcdn.com/bphoto/mA-1sUvMc5mc6y16uciwXw/o.jpg,,,,
Cafe Azafran,Mediterranean,,https://s3-media0.fl.yelpcdn.com/bphoto/F8ly7-rnnAZJ-47c6z2pKw/o.jpg,,,,
Candy Kitchen,Candy,,https://s3-media0.fl.yelpcdn.com/bphoto/6rek_FFAFGiop6OOZbuWnQ/o.jpg,,,,
Double Dippers,Ice Cream,,https://s3-media0.fl.yelpcdn.com/bphoto/rbS01lllqiKOcJAtatahag/o.jpg,,,,
Egg,Breakfast & Lunch,,https://s3-media0.fl.yelpcdn.com/bphoto/qKpbcXjl3TbDgadeXXo2jQ/o.jpg,,,,
Frank & Louie's Italian Specialties,Italian Deli,,https://s3-media0.fl.yelpcdn.com/bphoto/1AaNF5D7TRwDB8WRBbLxmA/o.jpg,,,,
Indigo,Indian,,https://s3-media0.fl.yelpcdn.com/bphoto/hGmmWj5L1eS3PjakxxEWFQ/o.jpg,,,,
Kilwin's Chocolates & Ice Cream,Chocolate,,https://s3-media0.fl.yelpcdn.com/bphoto/Lntw1EA3-6QHyKsGX22BVQ/o.jpg,,,,
Nalu Surf Bar & Grill,Pacific Island (Hawaiian),,https://s3-media0.fl.yelpcdn.com/bphoto/w_MdsllSDilZyZNW-dkMtw/o.jpg,,,,
Rehoboth Candy Company,Candy,,https://s3-media0.fl.yelpcdn.com/bphoto/C2gLAokWM50U8TBt3OuyUw/o.jpg,,,,
Robin Hood Restaurant,Diner (American),,https://s3-media0.fl.yelpcdn.com/bphoto/S-4nbeL9g0OCLACgQLW4wg/o.jpg,,,,
Summer House,American,,https://s3-media0.fl.yelpcdn.com/bphoto/TwOIsqmVRNeZvjCaCaMbTw/o.jpg,,,,
The Cultured Pearl Restaurant & Sushi Bar,Japanese,,https://s3-media0.fl.yelpcdn.com/bphoto/pAXVmxRGdTFSROlmvSfs4A/o.jpg,,,,
Theo's Steaks,Sides & Spirits,,https://s3-media0.fl.yelpcdn.com/bphoto/S4EN-ygiT8GO3xkOCoTAMA/o.jpg,,,,
Twist Kitchen & Juice Bar,Juice Bar,,https://s3-media0.fl.yelpcdn.com/bphoto/-6FReMmWpr2rnJEe4E574Q/o.jpg,,,,
Zogg's Raw Bar & Grill,Seafood,,https://s3-media0.fl.yelpcdn.com/bphoto/vWhu5bdxoc3mgAa2xiJJpg/o.jpg,,,,
Henlopen City Oyster House,Seafood,4.7,https://s3-media0.fl.yelpcdn.com/bphoto/AUlZlkkYC7QbKWgZnig8UA/o.jpg,,,,
Salt Air Kitchen & Bar,American,,https://s3-media0.fl.yelpcdn.com/bphoto/8O22K4l9upittD0fvm0k6A/o.jpg,,,,
Confucius Chinese Cuisine,Chinese,,https://s3-media0.fl.yelpcdn.com/bphoto/moQiFKxwsk11N86r3ayJtw/o.jpg,,,,
Gus & Gus Place,Burgers,,https://s3-media0.fl.yelpcdn.com/bphoto/z4RbigLzveMJtLhs15A7GQ/o.jpg,,,,
Semra's Mediterranean Grill,Mediterranean,,https://s3-media0.fl.yelpcdn.com/bphoto/eBeYTiqcgywtFglb5nlQwA/o.jpg,,,,
La Fable,French,4.8,https://s3-media0.fl.yelpcdn.com/bphoto/oa_bZDx2pGWded-FuWFaZQ/o.jpg,,,,
Grotto Pizza,Pizza,4.1,https://s3-media0.fl.yelpcdn.com/bphoto/lIwQ4O1k4vmRhWnxgP_i2w/o.jpg,,,,
Obie's By The Sea,American,,https://s3-media0.fl.yelpcdn.com/bphoto/ayZLuo-AYE81fPYMHt6Frw/o.jpg,,,,
Eden,American,,https://s3-media0.fl.yelpcdn.com/bphoto/K4nZV707gAwKSeqtQ6i3UA/o.jpg,,,,
The Blue Hen,American,4.5,https://s3-media0.fl.yelpcdn.com/bphoto/YhixnqG7-KxfkoSvoltE8A/o.jpg,,,,
